ACTION,RESOURCE,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
1,20279,117891,117878,117879,117879,19721,117880
1,80746,118446,119064,122022,131302,119221,122024
1,80263,118052,120304,307024,311622,118331,118332
1,73753,118386,118746,117905,117906,290919,117908
1,39883,118052,118867,117905,172635,290919,117908
1,25993,117962,119223,118259,118260,290919,118261
0,78106,118150,118810,118568,159905,19721,118570
1,33150,118300,119181,118784,117906,290919,118786
1,34817,118327,120318,118641,240982,118643,118644
1,28354,118446,120317,118321,117906,290919,118322
1,33642,117952,117941,117879,117897,19721,117880
1,26430,118580,117895,117896,117913,117887,117898
1,28149,118026,119507,118321,117906,290919,118322
1,40867,117969,6725,122290,268766,6725,122292
1,20293,118266,117920,118568,310732,19721,118570
1,36020,118220,120694,118777,130218,308574,118779
1,60006,118225,120535,118396,269406,118398,118399
0,35043,117962,118352,118784,117906,290919,118786
1,17308,118300,118458,118728,223125,118295,118730
0,15716,118257,118623,118995,286106,292795,118997
1,39883,118178,119262,117946,119727,292795,117948
1,42031,118463,118522,119172,121927,118467,119174
1,27124,118327,118933,117905,117906,290919,117908
1,35498,118343,119598,125171,257115,118424,125173
1,79168,118603,117941,117885,119621,117887,117888
1,2252,118413,127522,118784,240983,290919,118786
1,45652,118225,119924,118321,118448,290919,118322
1,23921,118300,120026,307024,303717,118331,118332
1,95247,118270,117878,118568,118568,19721,118570
1,78844,118052,122392,128903,160695,292795,128905
1,19481,118107,119565,179731,155780,117887,117973
1,18380,117962,122215,127782,130085,290919,127783
1,37734,117976,117884,117885,117913,117887,117888
1,3853,118446,118684,118321,117906,290919,118322
1,278393,118225,120323,119093,136840,119095,119096
1,35625,118343,118856,117905,240983,290919,117908
1,35066,118026,118202,118278,118260,290919,118279
1,3853,118300,118458,120006,310997,118424,120008
1,41569,118052,118706,118523,310608,118331,118525
1,25862,118327,118378,120952,143223,118453,120954
1,75078,118386,118896,122645,309858,119221,122647
1,1020,117962,118840,118641,306399,118643,118644
0,22956,118052,118706,118321,117906,290919,118322
1,20364,118386,123901,117905,117906,290919,117908
1,28943,118052,118933,118784,213944,290919,118786
1,75329,119070,118042,118043,151099,270488,118046
1,41569,118026,118202,117905,117906,290919,117908
1,4684,118446,119961,118259,118260,290919,118261
1,77943,118386,118692,118321,117906,290919,118322
1,38860,118574,118556,280788,127423,292795,119082
1,74142,117962,118501,120702,308462,118504,120704
1,58928,118225,118403,118054,287351,117887,118055
1,79309,118300,119984,118396,300044,118398,118399
0,36480,118170,118171,130479,185784,119784,130481
1,16591,117962,117904,119949,123170,290919,119951
1,77429,118413,120370,118321,117906,290919,118322
1,80550,118300,124725,118321,117906,290919,118322
1,25814,118327,121589,118641,306399,118643,118644
1,15805,118386,121668,118777,279443,308574,118779
1,4675,118178,118320,118321,117906,290919,118322
1,56665,117903,119181,120952,130134,118453,120954
1,73756,118041,118042,118043,118044,270488,118046
1,90518,117962,118352,117905,117906,290919,117908
0,80501,117962,118352,118321,117906,290919,118322
1,81480,117911,117884,117879,117886,19721,117880
1,3069,118300,119181,118451,130134,118453,118454
1,79021,121786,118492,132692,174445,270488,132694
1,33642,117981,117941,118568,281735,19721,118570
1,23553,118340,117970,179731,179731,117887,117973
1,42085,118026,119362,119363,307210,118667,119365
1,38655,118041,118042,118043,118044,270488,118046
1,25330,118270,117878,117879,117879,19721,117880
1,1098,118343,118514,117905,240983,290919,117908
0,23096,118052,120398,122067,130238,118424,122069
1,34433,118413,119968,117905,117906,290919,117908
1,78607,118343,119181,118321,117906,290919,118322
1,79121,120343,119076,118422,124426,118424,118425
1,42347,117903,132530,117905,117906,290919,117908
1,34575,118300,118514,118321,240983,290919,118322
1,19730,119091,118514,118777,279443,308574,118779
1,103462,118343,120270,311867,130382,118478,118479
1,39262,118316,225010,118685,279443,308574,118687
1,16333,118300,118783,117905,240983,290919,117908
1,15007,118300,120722,118451,130134,118453,118454
1,75787,118178,118575,119849,212678,118638,119851
1,45790,118327,120171,118863,126488,118398,118865
1,20349,118327,126310,118641,306399,118643,118644
1,73752,118386,118746,117905,117906,290919,117908
1,6964,118327,118391,118641,123881,118643,118644
1,25231,117903,118507,119529,205305,119006,119531
1,34633,118888,118979,118980,199144,118295,118982
1,28472,118316,120361,118321,175154,290919,118322
1,24015,118446,118447,119346,302830,4673,119348
1,75813,118463,119214,118321,117906,290919,118322
1,74161,117903,118403,128422,122352,118453,128424
1,30628,118327,120383,118321,149826,290919,118322
1,4675,118413,122007,118321,117906,290919,118322
1,45444,118327,120171,118890,182227,118398,118892
1,3853,118343,120126,120497,223125,118424,120499
1,32997,117903,277693,117905,117906,290919,117908
1,31613,118327,120383,118784,213944,290919,118786
1,42031,118463,123089,117905,130219,290919,117908
1,6302,118115,117884,117885,117913,117887,117888
1,79850,118343,118856,117905,117906,290919,117908
1,79647,118446,122550,118321,117906,290919,118322
1,7678,119256,119257,126684,130913,292795,126685
1,4675,118327,118933,118784,200462,290919,118786
0,77977,121013,118395,118396,269406,118398,118399
1,44812,118327,118391,118784,117906,290919,118786
1,80472,119597,120823,120647,311441,118398,120649
0,14570,118327,124921,137969,271378,118612,137970
1,43519,118446,120317,117905,117906,290919,117908
1,75834,119302,119303,117905,120828,290919,117908
1,98054,118413,119968,118321,117906,290919,118322
1,80222,117903,118910,119346,302830,4673,119348
1,31299,118300,118458,120789,309123,118424,120791
1,78327,117984,117878,118568,292195,19721,118570
1,19722,118300,119181,118321,117906,290919,118322
1,1937,118327,118328,130857,161026,308574,130858
1,75901,118300,118360,119849,148676,118638,119851
1,25993,118041,119781,130479,179826,119784,130481
0,20312,118386,118522,118321,117906,290919,118322
1,4675,118386,128823,118259,125206,290919,118261
1,40919,118316,118464,130857,156150,308574,130858
1,74242,118225,118616,117905,240983,290919,117908
1,80215,118413,120370,118321,240983,290919,118322
1,29058,119091,123125,124152,300136,118424,124154
1,79092,118300,121951,128422,130134,118453,128424
1,15913,118327,120383,118641,120319,118643,118644
1,25098,118442,118378,118054,121603,117887,118055
1,25312,118596,118706,118172,130384,249618,118175
1,1151,118327,118507,118863,122008,118398,118865
1,79092,118343,118437,124435,118362,118363,124436
1,44644,118052,120539,118321,118448,290919,118322
1,86292,118052,119986,118321,117906,290919,118322
1,4675,118300,118783,117905,117906,290919,117908
1,34580,118300,120722,118784,130735,290919,118786
0,18913,118266,117920,118568,310732,19721,118570
1,16321,118446,119961,118278,118260,290919,118279
1,80780,118343,120666,123045,123107,120518,123047
0,44976,118178,117945,117946,119114,292795,117948
1,41235,118182,117941,118568,292195,19721,118570
1,7543,118343,120722,118784,117906,290919,118786
1,3853,117877,117878,117879,117879,19721,117880
1,34396,117969,189629,179731,123099,117887,117973
1,41643,118052,118821,118278,117906,290919,118279
1,80057,118386,121961,118318,130278,118205,118319
1,38964,118343,118957,118321,117906,290919,118322
1,16619,118446,118447,121594,170665,4673,121596
1,4675,118213,126955,118685,120316,308574,118687
1,79228,117984,117878,117879,117879,19721,117880
1,36480,118574,118556,280788,127423,292795,119082
1,20279,118150,117884,117885,117913,117887,117888
1,42873,118343,118395,123067,269406,118398,123068
1,37942,117936,117878,117885,117913,117887,117888
1,36674,118107,117884,117879,117886,19721,117880
1,25831,119070,118754,119885,118806,118474,119887
1,35196,119135,118701,119587,284481,118704,119589
1,39518,118327,118492,118777,174445,308574,118779
1,41649,118052,118992,118321,117906,290919,118322
0,7543,118300,118514,118259,118260,290919,118261
1,75078,118463,118522,307024,294485,118331,118332
1,16153,119063,124211,120516,123107,120518,120519
1,33155,118300,119181,118784,117906,290919,118786
1,7543,118225,118403,120690,120690,290919,120692
1,42942,121013,121961,118523,246167,118331,118525
1,13878,117891,117878,118568,123862,19721,118570
1,20292,118124,117884,117879,117886,19721,117880
1,42031,118386,118501,118502,130777,118504,118505
1,6914,118300,118514,118259,132715,290919,118261
1,75834,118300,123749,118777,279443,308574,118779
1,39233,118300,124725,117905,117906,290919,117908
1,40867,118026,119507,118278,118260,290919,118279
1,25213,117962,118910,118451,123503,118453,118454
1,55554,117903,120722,117905,117906,290919,117908
1,75078,118386,121961,120348,249620,118295,120350
1,31299,118327,128935,149337,205238,118398,149339
1,79948,118225,119824,123737,147851,118960,123738
1,78845,118052,119972,122551,159682,118762,122552
1,38470,118080,117878,117885,118177,117887,117888
1,45976,118026,118202,118321,117906,290919,118322
1,74818,118327,118744,120591,183734,119095,120593
1,70452,117981,118246,179731,141712,117887,117973
1,40438,118052,118706,118318,120689,118205,118319
1,20279,118011,117884,117885,117913,117887,117888
0,967,118170,119262,117946,125711,292795,117948
1,36772,23779,117884,117879,117886,19721,117880
1,43431,118225,119136,120056,255657,118474,120058
1,4675,119091,118535,117905,117906,290919,117908
1,25993,118300,118458,307024,301218,118331,118332
1,25231,118888,118889,118863,307233,118398,118865
1,6977,118386,118692,118784,117906,290919,118786
1,99461,118327,119830,117905,117906,290919,117908
1,42881,118446,16232,117905,117906,290919,117908
1,80973,118052,119742,118321,118448,290919,118322
1,17825,119921,142145,128230,302830,4673,128231
1,43876,118080,117878,117885,118177,117887,117888
1,74161,118225,118403,118321,117906,290919,118322
1,24890,118413,126229,121594,207709,4673,121596
1,6977,118225,118403,118777,279443,308574,118779
0,107225,118225,122870,119928,129017,118331,119929
1,44909,118225,120663,118784,147114,290919,118786
1,74283,118327,118320,118523,310608,118331,118525
1,34075,118413,120370,118321,118448,290919,118322
1,75078,118463,122636,120773,123148,118960,120774
1,42093,118300,123472,118259,118260,290919,118261
1,3057,118300,120722,118321,117906,290919,118322
1,27416,118085,117920,118129,132803,118131,118132
1,74347,118300,123719,117905,240983,290919,117908
0,21751,118052,118881,117905,117906,290919,117908
1,73562,117962,120526,118784,310608,290919,118786
1,29304,117976,117884,117879,117886,19721,117880
1,39353,118300,120410,118784,117906,290919,118786
1,25744,118343,120722,118784,117906,290919,118786
1,78816,118052,118328,124886,306399,118643,124888
1,38714,118413,120370,121594,170665,4673,121596
1,38840,118300,118597,118834,127160,118424,118836
1,39395,118052,123144,118396,269406,118398,118399
1,1003,118225,120551,117905,186454,290919,117908
1,34886,118343,118856,118278,117906,290919,118279
1,4675,118300,118514,118321,240983,290919,118322
1,42093,118596,81476,118834,153821,118424,118836
1,17308,118343,118458,120006,311622,118424,120008
1,16301,118413,120370,118321,117906,290919,118322
1,42976,118052,120398,120344,311360,118424,120346
1,75272,118300,123055,120344,311360,118424,120346
0,27416,117917,117941,117879,117886,19721,117880
1,35376,118316,120361,118321,175154,290919,118322
1,98033,118225,120050,117905,117906,290919,117908
1,18072,118446,118701,118702,129679,118704,118705
1,44592,118225,119924,118685,120316,308574,118687
1,22481,118026,119507,123648,123107,120518,123650
1,80473,118343,118856,120773,165589,118960,120774
1,79121,119091,123125,134095,300136,118474,118475
1,41594,118327,118933,209874,311622,308574,209875
1,75338,118580,117895,117896,117897,117887,117898
1,15922,118300,118514,118321,117906,290919,118322
1,16333,118300,118783,118784,287626,290919,118786
1,42972,118991,118992,118321,117906,290919,118322
1,80202,118225,120551,118321,118448,290919,118322
0,917,118386,120356,120357,201020,118424,120359
1,45481,118300,128830,118826,150790,118424,118828
1,6094,118413,122007,118321,117906,290919,118322
1,45035,118164,117878,117879,208308,19721,117880
1,302049,122974,117945,117946,149467,292795,117948
1,79299,118041,118556,118274,119248,292795,118276
1,28294,118291,124668,119928,278266,118331,119929
1,32270,118343,118660,118826,158101,118424,118828
1,4684,121786,119922,118784,203564,290919,118786
1,79092,118300,124725,118784,117906,290919,118786
1,17308,118343,123125,119849,282370,118638,119851
1,98464,118603,118810,310825,149047,117887,121395
1,32270,117962,118910,118054,118368,117887,118055
1,40189,118343,119598,119433,133686,118424,119435
1,37793,117903,118783,117905,117906,290919,117908
1,16997,118291,121617,124799,152247,121620,124801
1,80674,118343,118660,118912,309291,118424,118914
1,81478,118300,118514,118685,132642,308574,118687
1,77178,118327,118929,118321,117906,290919,118322
1,32270,118052,120304,122297,301475,118331,118899
1,17795,117962,118910,118777,279443,308574,118779
1,14570,118220,118810,118811,128802,19793,118813
1,15064,117962,141383,118368,118368,117887,118486
1,42919,118052,118746,117905,117906,290919,117908
1,17308,118300,118458,118523,129545,118331,118525
1,30999,118343,118700,118784,117906,290919,118786
1,3853,118291,120026,120344,165069,118424,120346
1,75834,118343,118609,118728,301534,118295,118730
1,34536,118327,122109,117905,117906,290919,117908
0,4675,118386,119954,118318,168365,118205,118319
0,79092,119091,118684,122989,131688,119006,122991
1,915,118300,120722,118451,142600,118453,118454
1,27082,118225,122273,117905,240983,290919,117908
1,23921,118343,118833,118054,124356,117887,118055
1,23194,118300,120722,118321,117906,290919,118322
1,70086,117984,117878,118568,292195,19721,118570
1,79092,118343,118856,118321,117906,290919,118322
1,78833,117962,118910,119949,230830,290919,119951
1,15361,118413,120370,118321,117906,290919,118322
1,25993,118300,123055,120344,311360,118424,120346
0,971,118300,120312,120313,157234,118424,120315
1,73112,118327,118507,118054,120716,117887,118055
1,3853,118413,119968,118784,117906,290919,118786
1,34498,118888,121108,120006,311746,118424,120008
1,18394,118300,123719,118451,153802,118453,118454
1,20349,118300,118066,120988,213772,118643,120989
1,77343,118220,118344,127847,128352,118347,127848
1,25993,118300,118437,118321,117906,290919,118322
1,39511,117877,117878,118568,292195,19721,118570
1,20303,118300,119181,118259,126363,290919,118261
1,34950,118327,118933,307024,311622,118331,118332
1,79121,118300,118301,307024,204593,118331,118332
1,74343,118596,81476,118422,170384,118424,118425
1,33146,118327,118507,118863,127778,118398,118865
1,3853,118343,118514,118321,240983,290919,118322
1,80920,118888,118631,118912,309291,118424,118914
0,77203,119256,120943,126684,126684,292795,126685
0,16495,118446,119986,118777,279443,308574,118779
1,38655,118300,118979,118912,309291,118424,118914
1,107522,118327,118320,123067,137949,118398,123068
1,4675,118300,118783,118321,118406,290919,118322
1,34073,118413,120370,118321,117906,290919,118322
1,80685,118343,119598,117905,117906,290919,117908
1,81261,118026,118202,117905,117906,290919,117908
1,108223,118446,119064,117905,117906,290919,117908
1,90526,118386,121883,117905,117906,290919,117908
1,45089,118026,118450,118641,123881,118643,118644
1,52683,118076,117912,118568,117886,19721,118570
1,34026,118225,118403,118321,117906,290919,118322
1,42031,118316,120764,118465,175082,118467,118468
1,34628,118052,118328,299559,118204,118205,163732
1,13878,117936,117878,117879,117879,19721,117880
1,80826,118343,119993,120773,118959,118960,120774
1,33616,118300,118783,117905,117906,290919,117908
1,917,118343,120722,118361,118362,118363,118364
1,4675,118300,118783,118784,117906,290919,118786
1,84071,118052,119742,118321,117906,290919,118322
1,80160,118052,118821,118321,117906,290919,118322
1,38482,118217,117941,117885,117913,117887,117888
1,82277,118026,118202,118321,117906,290919,118322
1,32270,118386,123072,121414,130802,118704,121416
1,18293,118115,118846,179731,140758,117887,117973
1,80540,118300,120312,119849,236236,118638,119851
1,42713,118413,118481,118321,117906,290919,118322
1,256,118217,117941,118568,281735,19721,118570
1,33111,118225,120551,117905,240983,290919,117908
1,38239,117984,117878,118568,120877,19721,118570
1,36429,119281,117945,280788,280788,292795,119082
1,3066,118300,120722,118747,130134,118453,118749
1,42085,118300,119488,118728,301534,118295,118730
1,72191,118327,118933,118841,128747,118643,118843
1,34958,118327,120383,118641,306399,118643,118644
1,74627,118977,117895,117879,118250,19721,117880
1,40204,118300,124942,118784,117906,290919,118786
1,91620,117962,118352,118321,117906,290919,118322
1,4685,119921,176153,117905,117906,290919,117908
1,25322,117933,117878,117879,117897,19721,117880
1,80536,118300,118631,118924,153285,118667,118926
1,77951,117923,118810,122927,121125,118131,122929
1,32270,118300,119984,120647,311441,118398,120649
1,77295,118327,118862,118396,269406,118398,118399
1,31441,118888,119987,119849,240725,118638,119851
1,43876,118080,117878,117879,304519,19721,117880
1,34924,118327,118320,118685,310608,308574,118687
1,25990,121786,119142,118321,117906,290919,118322
1,38713,118041,118556,280788,280788,292795,119082
1,15915,118327,120559,120618,304465,118643,120619
1,45990,118178,117945,259173,141966,292795,118943
1,17308,126919,118042,118043,118043,270488,118046
1,80193,117969,118910,118054,118054,117887,118055
0,25279,118300,118301,120344,311360,118424,120346
0,79562,118386,118404,118841,240982,118643,118843
1,18418,117969,6725,120527,275449,6725,120529
0,80874,118327,120383,117905,240983,290919,117908
1,73756,122974,117945,117946,149467,292795,117948
1,29697,118327,274241,118777,133772,308574,118779
1,78185,118300,118957,118777,279443,308574,118779
1,34156,118413,126229,128230,302830,4673,128231
1,7678,118041,117945,259173,191237,292795,118943
1,76545,118041,118042,118043,118044,270488,118046
1,44641,118291,119598,120344,260942,118424,120346
1,80368,119091,121710,117905,117906,290919,117908
1,41594,118327,118929,118685,279443,308574,118687
1,42085,117962,120677,307024,306404,118331,118332
1,43056,118327,121979,118321,240983,290919,118322
1,26437,118580,117895,117896,117913,117887,117898
1,40997,118225,121716,118636,310589,118638,118639
1,43431,118225,129617,121414,269394,118704,121416
1,33111,118225,120551,128230,302830,4673,128231
1,43280,118225,119238,122849,120324,119095,122850
1,75834,119135,118042,117896,287998,117887,117898
1,102270,118300,118783,117905,117906,290919,117908
1,34865,118300,120059,119849,124718,118638,119851
1,23921,118343,119598,118980,304760,118295,118982
1,23096,118300,118631,135809,176829,118331,135811
1,44594,117962,117904,120773,127525,118960,120774
0,39879,118257,117945,118995,118806,292795,118997
1,74466,118225,119924,118321,117906,290919,118322
1,4675,118300,118514,118318,168365,118205,118319
1,22282,117936,117878,117885,117937,117887,117888
1,45338,117877,117878,247659,163031,19721,247660
1,41495,118343,119987,118321,117906,290919,118322
1,39932,119091,120410,118028,310589,117887,118030
1,42093,118343,119598,118422,300136,118424,118425
1,16421,118300,120297,117905,117906,290919,117908
1,107802,118300,119181,118784,117906,290919,118786
1,41325,118413,120370,117905,117906,290919,117908
1,28294,118026,118202,118784,124402,290919,118786
1,29697,159716,118378,120952,159717,118453,120954
1,15018,119091,118535,117905,117906,290919,117908
1,74302,118011,117920,119192,139264,119184,119194
1,20293,117927,117884,117885,117913,117887,117888
1,78882,118213,119734,153957,153958,118667,153959
0,42019,118343,126955,118777,279443,308574,118779
1,74310,118300,120722,118685,123004,308574,118687
1,33993,118225,120551,119928,127692,118331,119929
1,19722,118300,119181,118321,117906,290919,118322
1,6977,118343,118856,118259,125889,290919,118261
1,20292,117927,117920,124313,124314,120134,124315
1,25964,118343,6104,118321,117906,290919,118322
1,81350,118343,118979,118834,133686,118424,118836
1,33232,118327,118507,118054,120238,117887,118055
1,79363,117891,117878,118568,120877,19721,118570
1,90436,118343,119598,117905,117906,290919,117908
1,14960,117930,117920,117885,117913,117887,117888
1,33149,118052,120096,118321,117906,290919,118322
1,45974,119070,119121,280788,130913,292795,119082
0,5173,118300,119984,118396,269406,118398,118399
1,18605,118225,118403,118054,118054,117887,118055
1,6977,118213,123201,117905,125206,290919,117908
1,681,118413,122007,128230,302830,4673,128231
1,87082,118052,118867,118321,117906,290919,118322
1,39879,119256,119257,117946,118806,292795,117948
1,6705,118327,118391,117905,117906,290919,117908
1,20351,117952,117920,118568,124610,19721,118570
1,74195,119091,118992,179731,117906,117887,117973
1,1098,118343,118514,118685,120316,308574,118687
1,40420,118091,117920,118568,133542,19721,118570
1,23702,118300,118514,118259,118260,290919,118261
1,100514,118225,119924,118321,117906,290919,118322
1,4675,118178,118320,118784,117906,290919,118786
1,15714,118753,117945,118274,118806,292795,118276
1,79121,118052,120356,126516,300136,118612,126518
1,20294,118150,117920,118568,281735,19721,118570
1,79092,118225,118403,118451,130134,118453,118454
1,6055,118327,118862,118890,125128,118398,118892
1,41296,118343,119987,119172,256190,118467,119174
1,38480,118580,117895,117896,117897,117887,117898
1,75787,118178,118575,119849,212678,118638,119851
1,4675,119091,118957,118278,118260,290919,118279
1,79813,118991,118992,118321,117906,290919,118322
1,15907,118413,277693,117905,117906,290919,117908
1,18332,118024,118810,122952,305581,19793,122954
1,42093,118026,119362,119363,307210,118667,119365
1,80515,118300,125821,118834,251171,118424,118836
1,83226,118052,118867,122129,270992,121916,122131
1,35376,118386,128823,117905,290919,290919,117908
1,6170,118213,118437,118636,192211,118638,118639
1,34480,118291,118053,132692,134889,270488,132694
1,4675,118343,119796,119743,132775,3130,119745
0,36646,117979,117884,117879,117886,19721,117880
1,3853,121013,124133,120344,303717,118424,120346
1,73214,118413,127522,118784,124402,290919,118786
1,19944,117969,121617,131849,149815,121620,131851
1,38725,118300,119195,117905,117906,290919,117908
1,20897,118225,117963,118811,286597,19793,118813
1,34548,118343,123125,117905,117906,290919,117908
0,23497,118300,118301,118980,306795,118295,118982
1,23965,118343,120126,119433,133686,118424,119435
1,1020,118991,118992,307024,294485,118331,118332
1,16496,118225,119924,118318,168365,118205,118319
1,44649,118052,118391,120773,118959,118960,120774
1,80809,118052,123144,118890,203706,118398,118892
1,34498,118052,118821,117905,117906,290919,117908
1,1281,117962,19666,118368,129597,117887,118486
1,17308,118300,118597,118422,150827,118424,118425
1,26360,118386,121961,118912,309291,118424,118914
1,78703,118052,120304,118702,132675,118704,118705
1,31475,117911,117884,117879,117886,19721,117880
1,117594,118413,118414,118784,240983,290919,118786
1,35068,117984,117878,118396,139898,118398,118399
1,80756,118300,118395,118396,300044,118398,118399
1,28105,118225,120323,120591,120592,119095,120593
1,73756,118343,123125,118685,120316,308574,118687
1,91087,119692,118635,122967,311441,119695,122969
1,20351,118327,121645,118054,159996,117887,118055
1,3853,118413,120370,118321,240983,290919,118322
1,79285,118041,119195,118028,118368,117887,118030
1,5545,118170,118575,130479,139169,119784,130481
1,99881,118300,118514,117905,117906,290919,117908
1,76446,118300,119181,118784,121873,290919,118786
1,41378,118178,117945,259173,201292,292795,118943
1,15064,118300,118631,118054,120238,117887,118055
0,16033,118257,118623,118995,286106,292795,118997
1,35896,118213,118507,118863,157370,118398,118865
1,13878,117979,117884,117879,117886,19721,117880
1,24885,118300,119181,128230,302830,4673,128231
1,75327,119256,118042,118043,129174,270488,118046
1,4675,118343,6104,118054,168337,117887,118055
1,77466,118977,117895,118194,118195,117887,118196
1,28856,117962,122224,118784,117906,290919,118786
1,79121,118343,119598,119433,133686,118424,119435
1,80799,118413,118481,117905,117906,290919,117908
1,43663,118052,118881,117905,117906,290919,117908
1,75334,118386,118692,118451,200947,118453,118454
1,45790,119070,119121,118274,118806,292795,118276
1,6042,118446,120317,118321,117906,290919,118322
1,38704,117960,117941,117885,117913,117887,117888
1,3853,118386,121961,118912,309291,118424,118914
1,278393,118300,120026,118834,223125,118424,118836
1,114621,118225,119924,118685,279443,308574,118687
1,31246,118327,118933,128230,302830,4673,128231
1,34924,118327,118929,118259,118260,290919,118261
1,278393,118300,120026,118054,118054,117887,118055
1,25231,118327,118507,118396,158043,118398,118399
0,79602,118316,118317,129561,216140,3130,129563
1,43452,119070,118042,118043,118043,270488,118046
1,17849,117969,130192,123400,130319,19793,123402
1,27797,118386,118746,118321,117906,290919,118322
1,80674,118343,118660,119433,133686,118424,119435
1,3661,126102,118378,119192,300603,119184,119194
1,110042,118343,123125,118536,118536,308574,118539
1,78598,118052,122938,118321,117906,290919,118322
1,39159,118225,118403,119849,310589,118638,119851
1,27785,118300,123055,120006,128578,118424,120008
1,31441,118343,128113,118826,257115,118424,118828
1,34498,120343,119076,118834,124426,118424,118836
1,27230,118413,122007,117905,118260,290919,117908
1,14354,118220,117941,117879,117897,19721,117880
1,25993,118343,119598,118422,300136,118424,118425
1,80762,118225,120551,118321,117906,290919,118322
1,97017,118225,122273,120773,118959,118960,120774
1,45380,118327,120559,120988,304465,118643,120989
1,34950,118225,120551,118318,168365,118205,118319
1,920,118300,120722,118784,130735,290919,118786
1,25993,118213,118458,118912,309291,118424,118914
1,41594,118327,118929,118459,294325,249618,118461
1,80723,118225,120535,123670,305057,121916,123672
1,20312,117903,119181,117905,118036,290919,117908
1,73972,118386,118522,117905,134559,290919,117908
1,25287,118386,129128,120516,307024,120518,120519
1,4675,118991,119142,118321,117906,290919,118322
1,74047,118386,118522,117905,117906,290919,117908
1,15064,124035,117945,117946,125533,292795,117948
0,18913,117930,119569,179731,194138,117887,117973
1,17226,118343,119984,123067,269406,118398,123068
1,75078,118463,123089,117905,130219,290919,117908
1,25993,118343,121747,118321,117906,290919,118322
1,34950,118300,120410,118784,117906,290919,118786
1,30570,118386,118692,118321,117906,290919,118322
1,75078,118052,120096,118523,306404,118331,118525
1,28943,118052,118328,118054,118054,117887,118055
1,3853,118343,123125,118784,117906,290919,118786
1,78598,119597,120356,122067,205243,118424,122069
1,846,118327,121979,118321,117906,290919,118322
1,30364,118225,120050,117905,117906,290919,117908
1,36174,118343,118660,118826,158101,118424,118828
1,31374,117944,117945,118274,129282,292795,118276
1,33146,118300,118458,120789,309123,118424,120791
1,43002,118026,118202,118321,117906,290919,118322
1,78882,118213,119734,153957,119248,118667,153959
1,15342,118413,119968,118321,117906,290919,118322
1,73756,121786,120317,118321,117906,290919,118322
1,3661,121013,118450,119192,300603,119184,119194
1,112669,118300,119142,118784,147114,290919,118786
1,43280,118225,119238,119093,136840,119095,119096
1,42976,118386,118522,118318,168365,118205,118319
1,39264,118574,118623,118995,129731,292795,118997
1,1581,118327,118507,118890,124964,118398,118892
1,43727,119135,119136,120056,283527,118474,120058
1,78311,117933,117878,117879,117897,19721,117880
1,74018,118052,120096,117905,117906,290919,117908
